id,category,section,text,level1,level2,level3,tags,difficulty
souron_v2_012,総論,価格の特徴（元本と果実），"（１）不動産の経済価値は、一般に、交換の対価である価格として表示されるとともに、その用益の対価である賃料として表示される。そして、この価格と賃料との間には、いわゆる元本と果実との間に認められる相関関係を認めることができる。",元本と果実,価格|賃料|元本と果実,交換の対価|用益の対価|価格|賃料|元本|果実|相関関係,総論1章|価格の特徴|重要,1
souron_v2_013,総論,価格の特徴（権利の対価），"（２）不動産の価格（又は賃料）は、その不動産に関する所有権、賃借権等の権利の対価又は経済的利益の対価であり、また、二つ以上の権利利益が同一の不動産の上に存する場合には、それぞれの権利利益について、その価格（又は賃料）が形成され得る。",所有権,所有権|賃借権|経済的利益,所有権|賃借権|権利の対価|経済的利益,総論1章|価格の特徴,2
souron_v2_014,総論,価格の特徴（長期的考慮），"（３）不動産の属する地域は固定的なものではなくて、常に拡大縮小、集中拡散、発展衰退等の変化の過程にあるものであるから、不動産の価格（又は賃料）は、通常、過去と将来とにわたる長期的な考慮の下に形成される。",長期的な考慮,過去と将来|長期的な考慮,拡大縮小|集中拡散|発展衰退|長期的な考慮,総論1章|価格の特徴,2
souron_v2_015,総論,価格の特徴（鑑定評価の必要性），"（４）不動産の現実の取引価格等は、取引等の必要に応じて個別的に形成されるのが通常であり、しかもそれは個別的な事情に左右されがちのものであって、このような取引価格等から不動産の適正な価格を見出すことは一般の人には非常に困難である。したがって、不動産の適正な価格については専門家としての不動産鑑定士の鑑定評価活動が必要となるものである。",鑑定評価活動,適正な価格|鑑定評価活動,適正な価格|専門家|鑑定評価活動,総論1章|鑑定評価の必要性,1
souron_v2_016,総論,鑑定評価の定義,"不動産の鑑定評価は、その対象である不動産の経済価値を判定し、これを貨幣額をもって表示することである。",経済価値,経済価値|貨幣額,経済価値|判定|貨幣額,総論1章|鑑定評価の定義|重要,1
souron_v2_017,総論,鑑定評価の意義,"それは、この社会における一連の価格秩序の中で、その不動産の価格及び賃料がどのような所に位するかを指摘することである。",価格秩序,価格秩序,価格秩序,総論1章|鑑定評価の意義,2
souron_v2_018,総論,鑑定評価の定義（専門家の判断），"不動産の鑑定評価とは、現実の社会経済情勢の下で合理的と考えられる市場で形成されるであろう市場価値を表示する適正な価格を、不動産鑑定士が的確に把握する作業に代表されるように、練達堪能な専門家によって初めて可能な仕事であるから、このような意味において、不動産の鑑定評価とは、不動産の価格に関する専門家の判断であり、意見であるといってよいであろう。",専門家の判断|意見,市場価値|専門家の判断|意見,市場価値|適正な価格|練達堪能|専門家の判断|意見,総論1章|鑑定評価の定義|重要,1
souron_v2_019,総論,鑑定評価の社会的意義,"それはまた、この社会における一連の価格秩序のなかで、対象不動産の価格の占める適正なあり所を指摘することであるから、その社会的公共的意義は極めて大きいといわなければならない。",社会的公共的意義,価格秩序|社会的公共的意義,価格秩序|社会的公共的意義,総論1章|鑑定評価の意義,2
souron_v2_020,総論,不動産鑑定士の責務（土地基本法），"土地は、土地基本法に定める土地についての基本理念に即して利用及び取引が行われるべきであり、特に投機的取引の対象とされてはならないものである。不動産鑑定士は、このような土地についての基本的な認識に立って不動産の鑑定評価を行わなければならない。",投機的取引,土地基本法|投機的取引,土地基本法|基本理念|投機的取引,総論1章|鑑定士の責務,1
souron_v2_021,総論,不動産鑑定士の責務（資質向上），"（１）高度な知識と豊富な経験と的確な判断力とが有機的に統一されて、初めて的確な鑑定評価が可能となるのであるから、不断の勉強と研鑚とによってこれを体得し、鑑定評価の進歩改善に努力すること。",高度な知識,高度な知識|豊富な経験|的確な判断力,高度な知識|豊富な経験|的確な判断力|不断の勉強|研鑚,総論1章|鑑定士の責務,2
souron_v2_022,総論,不動産鑑定士の責務（誠実説明），"（２）依頼者に対して鑑定評価の結果を分かり易く誠実に説明を行い得るようにするとともに、社会一般に対して、実践活動をもって、不動産の鑑定評価及びその制度に関する理解を深めることにより、不動産の鑑定評価に対する信頼を高めるよう努めること。",誠実,誠実|信頼,誠実|信頼,総論1章|鑑定士の責務,2
souron_v2_023,総論,不動産鑑定士の責務（公平妥当），"（３）不動産の鑑定評価に当たっては、自己又は関係人の利害の有無その他いかなる理由にかかわらず、公平妥当な態度を保持すること。",公平妥当,公平妥当,公平妥当,総論1章|鑑定士の責務,1
souron_v2_024,総論,不動産鑑定士の責務（専門家的注意），"（４）不動産の鑑定評価に当たっては、専門職業家としての注意を払わなければならないこと。",専門職業家としての注意,専門職業家としての注意,専門職業家としての注意,総論1章|鑑定士の責務,2
souron_v2_025,総論,不動産鑑定士の責務（辞退），"（５）自己の能力の限度を超えていると思われる不動産の鑑定評価を引き受け、又は縁故若しくは特別の利害関係を有する場合等、公平な鑑定評価を害する恐れのあるときは、原則として不動産の鑑定評価を引き受けてはならないこと。",公平な鑑定評価を害する恐れ,縁故|特別の利害関係|公平な鑑定評価を害する恐れ,縁故|特別の利害関係|公平な鑑定評価を害する恐れ,総論1章|鑑定士の責務,2
souron_v2_026,総論,不動産の種別・類型,"不動産の種別とは、不動産の用途に関して区分される不動産の分類をいい、不動産の類型とは、その有形的利用及び権利関係の態様に応じて区分される不動産の分類をいう。",種別|類型,種別|類型|有形的利用|権利関係,種別|類型|用途|有形的利用|権利関係,総論2章|不動産の種別|不動産の類型|重要,1
souron_v2_027,総論,地域の種別,"地域の種別は、宅地地域、農地地域、林地地域等に分けられる。",宅地地域,宅地地域|農地地域|林地地域,宅地地域|農地地域|林地地域,総論2章|地域の種別,1
souron_v2_028,総論,宅地地域の定義,"宅地地域とは、居住、商業活動、工業生産活動等の用に供される建物、構築物等の敷地の用に供されることが、自然的、社会的、経済的及び行政的観点からみて合理的と判断される地域をいい、住宅地域、商業地域、工業地域等に細分される。",宅地地域,宅地地域|住宅地域|商業地域|工業地域,宅地地域|住宅地域|商業地域|工業地域|合理的,総論2章|地域の種別,1
souron_v2_029,総論,農地地域の定義,"農地地域とは、農業生産活動のうち耕作の用に供されることが、自然的、社会的、経済的及び行政的観点からみて合理的と判断される地域をいう。",農地地域,農地地域|耕作,農地地域|農業生産活動|耕作,総論2章|地域の種別,1
souron_v2_030,総論,林地地域の定義,"林地地域とは、林業生産活動のうち木竹又は特用林産物の生育の用に供されることが、自然的、社会的、経済的及び行政的観点からみて合理的と判断される地域をいう。",林地地域,林地地域|木竹|特用林産物,林地地域|林業生産活動|木竹|特用林産物,総論2章|地域の種別,2
souron_v2_031,総論,土地の種別,"土地の種別は、地域の種別に応じて分類される土地の区分であり、宅地、農地、林地、見込地、移行地等に分けられ、さらに地域の種別の細分に応じて細分される。",見込地|移行地,宅地|農地|林地|見込地|移行地,宅地|農地|林地|見込地|移行地,総論2章|土地の種別,1
souron_v2_032,総論,見込地の定義,"見込地とは、宅地地域、農地地域、林地地域等の相互間において、ある種別の地域から他の種別の地域へと転換しつつある地域のうちにある土地をいい、宅地見込地、農地見込地等に分けられる。",見込地,見込地|転換,見込地|転換|宅地見込地|農地見込地,総論2章|土地の種別|重要,1
souron_v2_033,総論,移行地の定義,"移行地とは、宅地地域、農地地域等のうちにあって、細分されたある種別の地域から他の種別の地域へと移行しつつある地域のうちにある土地をいう。",移行地,移行地|移行,移行地|移行,総論2章|土地の種別|重要,1
souron_v2_034,総論,更地の定義,"更地とは、建物等の定着物がなく、かつ、使用収益を制約する権利の付着していない宅地をいう。",更地,更地|使用収益|権利,更地|定着物|使用収益|権利,総論2章|宅地の類型|重要,1
souron_v2_035,総論,建付地の定義,"建付地とは、建物等の用に供されている敷地で建物等及びその敷地が同一の所有者に属している宅地をいう。",建付地,建付地|同一の所有者,建付地|敷地|同一の所有者,総論2章|宅地の類型|重要,1
souron_v2_036,総論,借地権の定義,"借地権とは、借地借家法（廃止前の借地法を含む。）に基づく借地権（建物の所有を目的とする地上権又は土地の賃借権）をいう。",借地権,借地権|地上権|賃借権,借地権|借地借家法|地上権|賃借権,総論2章|宅地の類型|重要,1
souron_v2_037,総論,底地の定義,"底地とは、宅地について借地権の付着している場合における当該宅地の所有権をいう。",底地,底地|借地権|所有権,底地|借地権|所有権,総論2章|宅地の類型|重要,1
souron_v2_038,総論,区分地上権の定義,"区分地上権とは、工作物を所有するため、地下又は空間に上下の範囲を定めて設定された地上権をいう。",区分地上権,区分地上権|地下|空間,区分地上権|工作物|地下|空間|地上権,総論2章|宅地の類型,2
souron_v2_039,総論,自用の建物及びその敷地,"自用の建物及びその敷地とは、建物所有者とその敷地の所有者とが同一人であり、その所有者による使用収益を制約する権利の付着していない場合における当該建物及びその敷地をいう。",自用の建物及びその敷地,自用|同一人|使用収益,自用の建物及びその敷地|同一人|使用収益|権利,総論2章|建物の類型|重要,1
souron_v2_040,総論,貸家及びその敷地,"貸家及びその敷地とは、建物所有者とその敷地の所有者とが同一人であるが、建物が賃貸借に供されている場合における当該建物及びその敷地をいう。",貸家及びその敷地,貸家|賃貸借,貸家及びその敷地|同一人|賃貸借,総論2章|建物の類型|重要,1
souron_v2_041,総論,借地権付建物,"借地権付建物とは、借地権を権原とする建物が存する場合における当該建物及び借地権をいう。",借地権付建物,借地権付建物|権原,借地権付建物|借地権|権原,総論2章|建物の類型|重要,1
souron_v2_042,総論,区分所有建物及びその敷地,"区分所有建物及びその敷地とは、建物の区分所有等に関する法律第２条第３項に規定する専有部分並びに当該専有部分に係る同条第４項に規定する共用部分の共有持分及び同条第６項に規定する敷地利用権をいう。",区分所有建物,区分所有建物|専有部分|共用部分|敷地利用権,区分所有建物|専有部分|共用部分|共有持分|敷地利用権,総論2章|建物の類型,2
souron_v2_043,総論,価格形成要因の定義,"不動産の価格を形成する要因（以下「価格形成要因」という。）とは、不動産の効用及び相対的稀少性並びに不動産に対する有効需要の三者に影響を与える要因をいう。",価格形成要因,価格形成要因|効用|相対的稀少性|有効需要,価格形成要因|効用|相対的稀少性|有効需要,総論3章|価格形成要因|重要,1
souron_v2_044,総論,価格形成要因の変動,"不動産の価格は、多数の要因の相互作用の結果として形成されるものであるが、要因それ自体も常に変動する傾向を持っている。",相互作用,多数の要因|相互作用|変動,多数の要因|相互作用|変動,総論3章|価格形成要因,1
souron_v2_045,総論,価格形成要因の把握,"したがって、不動産の鑑定評価を行うに当たっては、価格形成要因を市場参加者の観点から明確に把握し、かつ、その推移及び動向並びに諸要因間の相互関係を十分に分析して、前記三者に及ぼすその影響を判定することが必要である。",市場参加者,市場参加者|推移|動向,市場参加者|推移|動向|相互関係,総論3章|価格形成要因,2
souron_v2_046,総論,価格形成要因の分類,"価格形成要因は、一般的要因、地域要因及び個別的要因に分けられる。",一般的要因|地域要因|個別的要因,一般的要因|地域要因|個別的要因,一般的要因|地域要因|個別的要因,総論3章|価格形成要因|重要,1
souron_v2_047,総論,一般的要因の定義,"一般的要因とは、一般経済社会における不動産のあり方及びその価格の水準に影響を与える要因をいう。それは、自然的要因、社会的要因、経済的要因及び行政的要因に大別される。",一般的要因,一般的要因|自然的要因|社会的要因|経済的要因|行政的要因,一般的要因|自然的要因|社会的要因|経済的要因|行政的要因,総論3章|一般的要因|重要,1
souron_v2_048,総論,自然的要因（一般的要因），"自然的要因の主なものとして、１．地質、地盤等の状態 ２．土壌及び土層の状態 ３．地勢の状態 ４．地理的位置関係 ５．気象の状態がある。",地質|地盤,地質|地盤|土壌|地勢|地理的位置,地質|地盤|土壌|土層|地勢|地理的位置|気象,総論3章|一般的要因|自然的要因,2
souron_v2_049,総論,社会的要因（一般的要因）前半,"社会的要因の主なものとして、１．人口の状態 ２．家族構成及び世帯分離の状態 ３．都市形成及び公共施設の整備の状態 ４．教育及び社会福祉の状態 ５．不動産の取引及び使用収益の慣行がある。",人口,人口|家族構成|都市形成|教育|慣行,人口|家族構成|世帯分離|都市形成|公共施設|教育|社会福祉|慣行,総論3章|一般的要因|社会的要因,2
souron_v2_050,総論,社会的要因（一般的要因）後半,"社会的要因の主なものとして、６．建築様式等の状態 ７．情報化の進展の状態 ８．生活様式等の状態がある。",情報化,建築様式|情報化|生活様式,建築様式|情報化の進展|生活様式,総論3章|一般的要因|社会的要因,3
souron_v2_051,総論,経済的要因（一般的要因）前半,"経済的要因の主なものとして、１．貯蓄、消費、投資及び国際収支の状態 ２．財政及び金融の状態 ３．物価、賃金、雇用及び企業活動の状態 ４．税負担の状態 ５．企業会計制度の状態がある。",財政|金融,貯蓄|消費|投資|財政|金融|物価|税負担,貯蓄|消費|投資|国際収支|財政|金融|物価|賃金|雇用|税負担|企業会計,総論3章|一般的要因|経済的要因,2
souron_v2_052,総論,経済的要因（一般的要因）後半,"経済的要因の主なものとして、６．技術革新及び産業構造の状態 ７．交通体系の状態 ８．国際化の状態がある。",技術革新,技術革新|交通体系|国際化,技術革新|産業構造|交通体系|国際化,総論3章|一般的要因|経済的要因,3
souron_v2_053,総論,行政的要因（一般的要因），"行政的要因の主なものとして、１．土地利用に関する計画及び規制の状態 ２．土地及び建築物の構造、防災等に関する規制の状態 ３．宅地及び住宅に関する施策の状態 ４．不動産に関する税制の状態 ５．不動産の取引に関する規制の状態がある。",土地利用,土地利用|税制|規制,土地利用|建築物の構造|防災|宅地及び住宅|税制|取引の規制,総論3章|一般的要因|行政的要因,2
souron_v2_054,総論,地域要因の定義,"地域要因とは、一般的要因の相関結合によって規模、構成の内容、機能等にわたる各地域の特性を形成し、その地域に属する不動産の価格の形成に全般的な影響を与える要因をいう。",地域要因,地域要因|相関結合|全般的な影響,地域要因|相関結合|地域の特性|全般的な影響,総論3章|地域要因|重要,1
souron_v2_055,総論,住宅地の地域要因（1-5），"住宅地の地域要因として、（１）日照、温度、湿度、風向等の気象の状態 （２）街路の幅員、構造等の状態 （３）都心との距離及び交通施設の状態 （４）商業施設の配置の状態 （５）上下水道、ガス等の供給・処理施設の状態がある。",都心との距離|交通施設,日照|街路|都心との距離|商業施設|上下水道,日照|温度|街路|都心との距離|交通施設|商業施設|上下水道|ガス,総論3章|地域要因|住宅地,2
souron_v2_056,総論,住宅地の地域要因（6-10），"住宅地の地域要因として、（６）情報通信基盤の整備の状態 （７）公共施設、公益的施設等の配置の状態 （８）汚水処理場等の嫌悪施設等の有無 （９）洪水、地すべり等の災害の発生の危険性 （10）騒音、大気の汚染、土壌汚染等の公害の発生の程度がある。",嫌悪施設,情報通信基盤|公共施設|嫌悪施設|災害|公害,情報通信基盤|公共施設|公益的施設|嫌悪施設|洪水|地すべり|騒音|大気汚染|土壌汚染,総論3章|地域要因|住宅地,3
souron_v2_057,総論,住宅地の地域要因（11-14），"住宅地の地域要因として、（11）各画地の面積、配置及び利用の状態 （12）住宅、生垣、街路修景等の街並みの状態 （13）眺望、景観等の自然的環境の良否 （14）土地利用に関する計画及び規制の状態がある。",眺望|景観,街並み|眺望|景観|土地利用の規制,街並み|眺望|景観|自然的環境|土地利用の計画及び規制,総論3章|地域要因|住宅地,3
souron_v2_058,総論,商業地の地域要因（1-5），"商業地特有の地域要因として、（１）商業施設又は業務施設の種類、規模、集積度等の状態 （２）商業背後地及び顧客の質と量 （３）顧客及び従業員の交通手段の状態 （４）商品の搬入及び搬出の利便性 （５）街路の回遊性、アーケード等の状態がある。",商業背後地,商業背後地|顧客の質と量|交通手段,商業施設|業務施設|集積度|商業背後地|顧客|交通手段|搬入|搬出|回遊性|アーケード,総論3章|地域要因|商業地,2
souron_v2_059,総論,商業地の地域要因（6-10），"商業地特有の地域要因として、（６）営業の種別及び競争の状態 （７）当該地域の経営者の創意と資力 （８）繁華性の程度及び盛衰の動向 （９）駐車施設の整備の状態 （10）行政上の助成及び規制の程度がある。",繁華性,競争の状態|繁華性|盛衰の動向,競争|経営者の創意と資力|繁華性|盛衰|駐車施設|行政上の助成,総論3章|地域要因|商業地,3
souron_v2_060,総論,工業地の地域要因（1-4），"工業地特有の地域要因として、（１）幹線道路、鉄道、港湾、空港等の輸送施設の整備の状況 （２）労働力確保の難易 （３）製品販売市場及び原材料仕入市場との位置関係 （４）動力資源及び用排水に関する費用がある。",輸送施設,輸送施設|労働力|市場との位置関係|動力資源,幹線道路|鉄道|港湾|空港|輸送施設|労働力|製品販売市場|原材料|動力資源|用排水,総論3章|地域要因|工業地,2
souron_v2_061,総論,工業地の地域要因（5-7），"工業地特有の地域要因として、（５）関連産業との位置関係 （６）水質の汚濁、大気の汚染等の公害の発生の危険性 （７）行政上の助成及び規制の程度がある。",関連産業,関連産業|公害|行政上の助成,関連産業|水質汚濁|大気汚染|公害|行政上の助成,総論3章|地域要因|工業地,3
souron_v2_062,総論,農地の地域要因,"農地地域の地域要因の主なものとして、１．日照、温度、湿度、風雨等の気象の状態 ２．起伏、高低等の地勢の状態 ３．土壌及び土層の状態 ４．水利及び水質の状態 ５．洪水、地すべり等の災害の発生の危険性 ６．道路等の整備の状態 ７．集落との位置関係 ８．集荷地又は産地市場との位置関係 ９．消費地との距離及び輸送施設の状態 10．行政上の助成及び規制の程度がある。",水利,気象|地勢|土壌|水利|集落|集荷地,気象|地勢|土壌|土層|水利|水質|災害|集落|集荷地|産地市場|輸送施設|行政,総論3章|地域要因|農地,3
souron_v2_063,総論,林地の地域要因,"林地地域の地域要因の主なものとして、１．日照、温度、湿度、風雨等の気象の状態 ２．標高、地勢等の状態 ３．土壌及び土層の状態 ４．林道等の整備の状態 ５．労働力確保の難易 ６．行政上の助成及び規制の程度がある。",林道,気象|標高|地勢|土壌|林道|労働力,気象|標高|地勢|土壌|土層|林道|労働力|行政,総論3章|地域要因|林地,3
souron_v2_064,総論,個別的要因の定義,"個別的要因とは、不動産に個別性を生じさせ、その価格を個別的に形成する要因をいう。",個別的要因,個別的要因|個別性,個別的要因|個別性,総論3章|個別的要因|重要,1
souron_v2_065,総論,住宅地の個別的要因（1-8），"住宅地の個別的要因として、①地勢、地質、地盤等 ②日照、通風及び乾湿 ③間口、奥行、地積、形状等 ④高低、角地その他の接面街路との関係 ⑤接面街路の幅員、構造等の状態 ⑥接面街路の系統及び連続性 ⑦交通施設との距離 ⑧商業施設との接近の程度がある。",間口|奥行,地勢|地盤|日照|間口|奥行|地積|角地|接面街路|交通施設|商業施設,地勢|地質|地盤|日照|通風|間口|奥行|地積|形状|高低|角地|接面街路|交通施設|商業施設,総論3章|個別的要因|住宅地,2
souron_v2_066,総論,住宅地の個別的要因（9-16），"住宅地の個別的要因として、⑨公共施設、公益的施設等との接近の程度 ⑩汚水処理場等の嫌悪施設等との接近の程度 ⑪隣接不動産等周囲の状態 ⑫上下水道、ガス等の供給・処理施設の有無及びその利用の難易 ⑬情報通信基盤の利用の難易 ⑭埋蔵文化財及び地下埋設物の有無並びにその状態 ⑮土壌汚染の有無及びその状態 ⑯公法上及び私法上の規制、制約等がある。",土壌汚染,嫌悪施設|埋蔵文化財|土壌汚染|公法上の規制,公共施設|嫌悪施設|隣接不動産|上下水道|情報通信基盤|埋蔵文化財|地下埋設物|土壌汚染|公法上及び私法上の規制,総論3章|個別的要因|住宅地,3
souron_v2_067,総論,商業地の個別的要因（1-7），"商業地の個別的要因として、①地勢、地質、地盤等 ②間口、奥行、地積、形状等 ③高低、角地その他の接面街路との関係 ④接面街路の幅員、構造等の状態 ⑤接面街路の系統及び連続性 ⑥商業地域の中心への接近性 ⑦主要交通機関との接近性がある。",商業地域の中心,間口|奥行|角地|商業地域の中心|主要交通機関,地勢|地盤|間口|奥行|地積|角地|接面街路|商業地域の中心|主要交通機関,総論3章|個別的要因|商業地,2
souron_v2_068,総論,商業地の個別的要因（8-14），"商業地の個別的要因として、⑧顧客の流動の状態との適合性 ⑨隣接不動産等周囲の状態 ⑩上下水道、ガス等の供給・処理施設の有無及びその利用の難易 ⑪情報通信基盤の利用の難易 ⑫埋蔵文化財及び地下埋設物の有無並びにその状態 ⑬土壌汚染の有無及びその状態 ⑭公法上及び私法上の規制、制約等がある。",顧客の流動,顧客の流動|土壌汚染|公法上の規制,顧客の流動|隣接不動産|上下水道|情報通信基盤|埋蔵文化財|地下埋設物|土壌汚染|公法上及び私法上の規制,総論3章|個別的要因|商業地,3
souron_v2_069,総論,工業地の個別的要因（1-7），"工業地の個別的要因として、①地勢、地質、地盤等 ②間口、奥行、地積、形状等 ③高低、角地その他の接面街路との関係 ④接面街路の幅員、構造等の状態 ⑤接面街路の系統及び連続性 ⑥従業員の通勤等のための主要交通機関との接近性 ⑦幹線道路、鉄道、港湾、空港等の輸送施設との位置関係がある。",輸送施設,接面街路|主要交通機関|輸送施設,地勢|地盤|間口|奥行|地積|角地|接面街路|主要交通機関|輸送施設,総論3章|個別的要因|工業地,2
souron_v2_070,総論,工業地の個別的要因（8-14），"工業地の個別的要因として、⑧電力等の動力資源の状態及び引込の難易 ⑨用排水等の供給・処理施設の整備の必要性 ⑩上下水道、ガス等の供給・処理施設の有無及びその利用の難易 ⑪情報通信基盤の利用の難易 ⑫埋蔵文化財及び地下埋設物の有無並びにその状態 ⑬土壌汚染の有無及びその状態 ⑭公法上及び私法上の規制、制約等がある。",動力資源,動力資源|用排水|土壌汚染|公法上の規制,動力資源|引込|用排水|上下水道|情報通信基盤|埋蔵文化財|地下埋設物|土壌汚染|公法上及び私法上の規制,総論3章|個別的要因|工業地,3
souron_v2_071,総論,農地の個別的要因,"農地の個別的要因として、（１）日照、乾湿、雨量等の状態 （２）土壌及び土層の状態 （３）農道の状態 （４）灌漑排水の状態 （５）耕うんの難易 （６）集落との接近の程度 （７）集荷地との接近の程度 （８）災害の危険性の程度 （９）公法上及び私法上の規制、制約等がある。",灌漑排水,農道|灌漑排水|耕うん|集荷地,日照|乾湿|土壌|土層|農道|灌漑排水|耕うん|集落|集荷地|災害|規制,総論3章|個別的要因|農地,3
souron_v2_072,総論,林地の個別的要因,"林地の個別的要因として、（１）日照、乾湿、雨量等の状態 （２）標高、地勢等の状態 （３）土壌及び土層の状態 （４）木材の搬出、運搬等の難易 （５）管理の難易 （６）公法上及び私法上の規制、制約等がある。",木材の搬出,標高|地勢|土壌|木材の搬出|管理,標高|地勢|土壌|土層|木材の搬出|運搬|管理|規制,総論3章|個別的要因|林地,3
souron_v2_073,総論,建物の個別的要因（1-5），"建物の各用途に共通する個別的要因として、１．建築（新築、増改築等又は移転）の年次 ２．面積、高さ、構造、材質等 ３．設計、設備等の機能性 ４．施工の質と量 ５．耐震性、耐火性等建物の性能がある。",耐震性,建築の年次|機能性|耐震性|耐火性,建築の年次|面積|構造|材質|機能性|施工|耐震性|耐火性,総論3章|個別的要因|建物,2
souron_v2_074,総論,建物の個別的要因（6-9），"建物の各用途に共通する個別的要因として、６．維持管理の状態 ７．有害な物質の使用の有無及びその状態 ８．建物とその環境との適合の状態 ９．公法上及び私法上の規制、制約等がある。",有害な物質,維持管理|有害な物質|環境との適合,維持管理|有害な物質|環境との適合|公法上及び私法上の規制,総論3章|個別的要因|建物,2
souron_v2_075,総論,建物及びその敷地の個別的要因,"建物及びその敷地に関する個別的要因として、敷地内における建物、駐車場、通路、庭等の配置、建物と敷地の規模の対応関係等建物等と敷地との適応の状態、修繕計画・管理計画の良否とその実施の状態がある。",適応の状態,建物等と敷地との適応の状態|修繕計画|管理計画,配置|建物と敷地の規模の対応関係|適応の状態|修繕計画|管理計画,総論3章|個別的要因|建物及びその敷地,2
souron_v2_076,総論,賃貸用不動産の個別的要因,"賃貸用不動産に関する個別的要因として、賃貸経営管理の良否があり、その主なものとして、１．賃借人の状況及び賃貸借契約の内容 ２．貸室の稼働状況 ３．躯体・設備・内装等の資産区分及び修繕費用等の負担区分がある。",賃貸経営管理,賃貸経営管理|賃借人|稼働状況,賃貸経営管理|賃借人|賃貸借契約|稼働状況|資産区分|修繕費用,総論3章|個別的要因|賃貸用不動産,2
souron_v2_077,総論,諸原則の概説,"不動産の価格は、不動産の効用及び相対的稀少性並びに不動産に対する有効需要に影響を与える諸要因の相互作用によって形成されるが、その形成の過程を考察するとき、そこに基本的な法則性を認めることができる。",法則性,相互作用|法則性,効用|相対的稀少性|有効需要|相互作用|法則性,総論4章|価格諸原則,1

souron_v2_077,総論,諸原則の概説,"不動産の価格は、不動産の効用及び相対的稀少性並びに不動産に対する有効需要に影響を与える諸要因の相互作用によって形成されるが、その形成の過程を考察するとき、そこに基本的な法則性を認めることができる。",法則性,相互作用|法則性,効用|相対的稀少性|有効需要|相互作用|法則性,総論4章|価格諸原則,1
